Model,Test Accuracy
random_forest,0.7981651376146789
logistic_regression,0.5596330275229358
naive_bayes,0.6192660550458715
svm,0.6422018348623854
adaboost,0.7201834862385321
ann,0.6055045871559633
decision_tree,0.6009174311926605
knn,0.5642201834862385
xgboost,0.7706422018348624
