Feature,Importance
MelSpectrogram125,0.11311648771322913
MelSpectrogram126,0.1079201227314599
MelSpectrogram118,0.10733730844367351
MelSpectrogram117,0.10519763040359287
MelSpectrogram120,0.10474134399534396
MelSpectrogram128,0.10306374106296445
MelSpectrogram116,0.10208799625818399
MelSpectrogram121,0.0999886609998546
MelSpectrogram115,0.09951775086014791
MelSpectrogram107,0.09882521602693362
MelSpectrogram124,0.0969994084984469
MelSpectrogram100,0.09659105635266374
MelSpectrogram122,0.0948760603543517
MelSpectrogram106,0.09480999896549536
MelSpectrogram113,0.0944417404660991
MelSpectrogram119,0.09424139588816205
MelSpectrogram104,0.09306982328606694
MelSpectrogram105,0.08912130713555633
MelSpectrogram103,0.08753837222061045
MelSpectrogram114,0.08676323386423501
MelSpectrogram111,0.08659303374389671
MelSpectrogram112,0.08602069874540241
MelSpectrogram127,0.08560298438970948
MelSpectrogram109,0.08559314349674252
MelSpectrogram93,0.08531458134544212
MelSpectrogram108,0.08503716641559333
MelSpectrogram123,0.08229202036692307
MelSpectrogram97,0.08118468007372615
MelSpectrogram98,0.07633717184235733
MelSpectrogram94,0.07437616771778854
MelSpectrogram3,0.07287948175614489
MelSpectrogram102,0.07241990212149974
MelSpectrogram89,0.07082328750346156
MelSpectrogram62,0.06971270221643411
MelSpectrogram101,0.0696144311876683
MelSpectrogram95,0.06911120787378189
MelSpectrogram110,0.06911006498074879
MelSpectrogram8,0.06810129502281015
MelSpectrogram31,0.0655199598850642
MelSpectrogram67,0.06420631718185876
MelSpectrogram87,0.063639979778082
MelSpectrogram30,0.06344877860943954
MelSpectrogram99,0.06305544814850461
MelSpectrogram81,0.062494779066950557
MelSpectrogram4,0.06238321492036669
MelSpectrogram58,0.06101598189601787
MelSpectrogram82,0.0599726440007633
SpectralRollOff,0.059732148958514975
MelSpectrogram14,0.05964374181210763
Chroma8,0.05851368422072856
MelSpectrogram78,0.0572645131852656
MelSpectrogram1,0.05711697315529185
MelSpectrogram74,0.056789559311782645
MelSpectrogram85,0.05572518958239736
Chroma10,0.055482256561278254
MelSpectrogram24,0.0545707632787793
MelSpectrogram63,0.0531088096225385
MelSpectrogram90,0.05297667163650832
MelSpectrogram44,0.0516802171434636
MFCC6,0.051146583187962724
MelSpectrogram5,0.05104050601313537
MelSpectrogram84,0.05090518258680299
MelSpectrogram86,0.050329243603327134
MelSpectrogram2,0.05028223208649529
MelSpectrogram92,0.04949013281377623
MelSpectrogram96,0.04937643811136039
MelSpectrogram55,0.04929004983442953
MelSpectrogram56,0.04919779304256666
MelSpectrogram66,0.04835139424931434
MelSpectrogram52,0.047946054680617634
MelSpectrogram83,0.04744088523552237
MelSpectrogram45,0.047015612811292185
MelSpectrogram12,0.047010863321097496
MelSpectrogram70,0.04632107406769004
MelSpectrogram36,0.04594046823624787
MelSpectrogram59,0.045528584228584634
MelSpectrogram46,0.04530777777723771
MelSpectrogram68,0.04530105755148939
MelSpectrogram77,0.044693715713690185
MelSpectrogram72,0.044396484418803395
MelSpectrogram11,0.04346459106320233
MelSpectrogram80,0.04129122616746983
MFCC2,0.040820859260443765
MelSpectrogram47,0.040182443949726476
MelSpectrogram57,0.039927552446057835
MelSpectrogram76,0.038735862888100714
MelSpectrogram69,0.038285505022837674
MelSpectrogram88,0.0381093541435904
MelSpectrogram48,0.03734538562063783
MelSpectrogram71,0.037272897232798474
Chroma11,0.03585768928281419
MelSpectrogram73,0.035141061276959595
MelSpectrogram51,0.03489330804203239
SpectralContrast3,0.03317047008508456
MelSpectrogram50,0.03296505713241826
MelSpectrogram61,0.03265219295924049
MelSpectrogram33,0.03259937671734403
Chroma7,0.03222609716238933
MelSpectrogram15,0.031057035085784834
Chroma9,0.030755634256127484
MelSpectrogram6,0.030624584187574078
MelSpectrogram79,0.030494221986273606
MelSpectrogram37,0.03042324060240409
MFCC1,0.029948779439724182
MelSpectrogram27,0.029088812645679862
MelSpectrogram28,0.02886835974486668
MFCC10,0.028524550575680374
MelSpectrogram75,0.026936942034583966
MelSpectrogram7,0.026563217830198438
Chroma6,0.026490120895150904
MelSpectrogram54,0.02645590988437374
MelSpectrogram91,0.02633458494105656
MelSpectrogram29,0.026007385192841515
MFCC12,0.025294690482372095
MelSpectrogram13,0.024559536466682408
MelSpectrogram16,0.023805782932813768
MelSpectrogram10,0.023111869704779853
MelSpectrogram60,0.021446262261693994
MelSpectrogram65,0.021301154432101566
RMSE,0.02015184906257539
MelSpectrogram32,0.01898672054105366
Chroma2,0.01877560895418462
MelSpectrogram22,0.018458351222604197
SpectralContrast1,0.018351341710797886
MelSpectrogram43,0.017322145892789464
MFCC4,0.01727767606375119
Chroma12,0.01695577848044194
MelSpectrogram40,0.016014396676086395
ZCR,0.015845639279367996
MFCC11,0.014898728786916005
MelSpectrogram64,0.014674981943335608
Chroma4,0.014319316220709588
MelSpectrogram19,0.012634563636717111
MelSpectrogram53,0.012196112606569054
MelSpectrogram34,0.011222875701656587
MFCC9,0.010915116708197337
MelSpectrogram18,0.009819008465552947
MelSpectrogram17,0.008009544994270978
MelSpectrogram25,0.007785335381751413
MelSpectrogram42,0.0076310370608780875
MelSpectrogram49,0.007494873616930464
MelSpectrogram9,0.0072117037675538676
MelSpectrogram39,0.006350787617258602
SpectralContrast4,0.006230157752456611
MelSpectrogram21,0.006188602122772391
MFCC13,0.0059744932523553285
MelSpectrogram20,0.004681666537730056
MelSpectrogram26,0.0035748623193720963
SpectralContrast6,0.0028935014293123285
SpectralContrast2,0.0028291930048542913
MelSpectrogram35,0.000901714247669716
