Feature,Importance
MelSpectrogram67,0.14841217462641895
SpectralContrast1,0.1401447473200493
SpectralContrast3,0.13539885440086544
MelSpectrogram51,0.1216027180584671
MelSpectrogram56,0.11088480429674502
MFCC10,0.10160149452929358
MFCC9,0.09951999531877616
MelSpectrogram55,0.09835951410168757
MelSpectrogram37,0.09811668501233117
MelSpectrogram28,0.0954744495365836
MelSpectrogram45,0.09037641210986218
SpectralContrast2,0.08913403241807906
MelSpectrogram39,0.08738005137814783
MelSpectrogram53,0.08641141999398877
MelSpectrogram47,0.08473753851692262
MelSpectrogram41,0.0833288442339143
SpectralContrast5,0.08178975528926394
MelSpectrogram66,0.08017253716283032
MelSpectrogram44,0.0784759583253305
MelSpectrogram40,0.07408868228167455
MelSpectrogram52,0.071631262826447
MelSpectrogram24,0.06881401143406574
MelSpectrogram21,0.06866942979203239
MelSpectrogram25,0.06755769749327047
MelSpectrogram12,0.0639316344655216
MelSpectrogram29,0.06332111170483898
MelSpectrogram22,0.06249274727185971
MelSpectrogram35,0.06042794779468493
MelSpectrogram58,0.05997602220677831
MelSpectrogram60,0.05875647324759438
MelSpectrogram26,0.054430661140595055
MelSpectrogram9,0.053542691185592635
MelSpectrogram11,0.05173301752385478
MelSpectrogram8,0.0468023958826368
MelSpectrogram32,0.04271425384091358
MelSpectrogram74,0.04164825762211353
MelSpectrogram64,0.04159233690589778
Chroma8,0.04093360443675774
MelSpectrogram63,0.03997085387650715
MelSpectrogram73,0.03915411781279376
MelSpectrogram7,0.038980979499486895
MelSpectrogram68,0.03641853508382521
MelSpectrogram75,0.035070457619610654
MelSpectrogram65,0.03479448958019446
MelSpectrogram90,0.034051282187841585
MelSpectrogram13,0.033076026472404735
Chroma5,0.03266349411539944
Chroma1,0.03254495693837004
MFCC8,0.03208999043134505
MelSpectrogram50,0.031744356557666976
MFCC6,0.031221726613457606
MFCC13,0.03118647885549097
Chroma12,0.030485568056682472
MelSpectrogram10,0.030409799055714514
MelSpectrogram97,0.029418277347592593
SpectralContrast4,0.02940008014155366
MelSpectrogram57,0.029086692674118182
MFCC12,0.028845032239672917
MelSpectrogram81,0.028284958268925225
MelSpectrogram77,0.028123795815538102
MelSpectrogram61,0.027249781385948215
Chroma9,0.02686931585862283
SpectralContrast7,0.026211569687263514
MelSpectrogram6,0.025522952659653025
MelSpectrogram20,0.025464035167650414
MelSpectrogram23,0.024798689935483842
MelSpectrogram101,0.02463714426688614
MelSpectrogram48,0.024051558682529985
MelSpectrogram33,0.0239352282275562
MelSpectrogram42,0.022861859078843347
MelSpectrogram76,0.021881822702892805
MelSpectrogram46,0.021413883360969235
MelSpectrogram34,0.021004283263318775
MelSpectrogram102,0.02077326040558138
MelSpectrogram91,0.020743477834244604
MelSpectrogram38,0.01945847561463873
MelSpectrogram103,0.018858521681124136
MelSpectrogram71,0.01868018322890733
MelSpectrogram59,0.017834786273795887
MelSpectrogram78,0.017365388581671515
Chroma6,0.01691719527843895
MelSpectrogram69,0.016710848831379434
MelSpectrogram99,0.016665304190725653
MelSpectrogram80,0.016601487927625124
MelSpectrogram92,0.015367581405076516
MelSpectrogram84,0.014793908478641921
MelSpectrogram82,0.014170419521396999
MelSpectrogram98,0.014010970659712973
MFCC3,0.013634550489266845
MelSpectrogram54,0.01359974101059776
MelSpectrogram83,0.01327395612112082
MelSpectrogram49,0.012042967236967576
MelSpectrogram112,0.01162513496554132
MelSpectrogram18,0.011044972839719272
MelSpectrogram93,0.010735390539348782
MelSpectrogram108,0.010502815270738944
MelSpectrogram16,0.009789029807295718
MelSpectrogram43,0.009786296099012019
MFCC2,0.009624206976067681
MelSpectrogram85,0.008808132791382577
MelSpectrogram19,0.008251037234974692
MelSpectrogram106,0.008034216432580508
MelSpectrogram110,0.00755709869637709
MelSpectrogram105,0.00734744507080292
MelSpectrogram109,0.007217499187575506
MelSpectrogram62,0.007116175064276324
MelSpectrogram17,0.0070675621659243085
MelSpectrogram5,0.007024059078041237
MelSpectrogram100,0.006824166282443466
MelSpectrogram107,0.00674967493823885
MelSpectrogram31,0.006707493590537829
MelSpectrogram96,0.006319277124842821
MelSpectrogram15,0.006104149338845233
MelSpectrogram104,0.006044704514203469
MelSpectrogram111,0.006038876982624048
Chroma3,0.005738677627492667
MelSpectrogram95,0.005412431970551303
Chroma7,0.00511329638153624
MFCC5,0.00489201167057872
MelSpectrogram113,0.004836533770641303
MelSpectrogram86,0.00460877522658978
MelSpectrogram27,0.00444327358963147
MelSpectrogram88,0.004290700340661071
MelSpectrogram70,0.004131784035030557
MFCC11,0.004025724103341521
MelSpectrogram116,0.0037410767862070195
MelSpectrogram72,0.003306324393237347
Chroma2,0.003261499696457968
MelSpectrogram117,0.002810681797039049
MelSpectrogram87,0.0025388493412282576
MelSpectrogram114,0.0023566783334554413
RMSE,0.0021135125724155513
Chroma11,0.0020994360472385665
SpectralContrast6,0.0018165741543076106
ZCR,0.0017652288922904045
Chroma4,0.0013697736552276156
MelSpectrogram118,0.0013228752603045358
MelSpectrogram36,0.0012337517231577402
MelSpectrogram115,0.00114667947254215
MelSpectrogram122,0.0011459785820218016
MelSpectrogram4,0.0011007570675322887
MelSpectrogram94,0.0009411922423179212
MFCC4,0.0009097159622015476
MelSpectrogram124,0.0007814478977837288
MFCC1,0.0007808756944983479
MelSpectrogram1,0.0007354982877540181
MelSpectrogram14,0.0007178407661956641
MFCC7,0.0006573882943981327
MelSpectrogram119,0.0006544940928501921
MelSpectrogram2,0.0005680103843235306
MelSpectrogram123,0.00049550434828536
