Feature,Importance
MelSpectrogram125,0.11232229935937088
MelSpectrogram118,0.10920845593830397
MelSpectrogram120,0.10731288699601715
MelSpectrogram126,0.10627905465062137
MelSpectrogram128,0.10146872795125694
MelSpectrogram117,0.10129550097037088
MelSpectrogram116,0.09904639788891534
MelSpectrogram115,0.09784542162678211
MelSpectrogram119,0.09679305652267467
MelSpectrogram124,0.09632518079823882
MelSpectrogram107,0.09598056714350767
MelSpectrogram121,0.09517411646782747
MelSpectrogram122,0.09422380875933478
MelSpectrogram100,0.09419272118272182
MelSpectrogram113,0.09320588464514024
MelSpectrogram106,0.09267472020703682
MelSpectrogram104,0.09192364610833614
MelSpectrogram103,0.09044408529283543
MelSpectrogram127,0.08689374919945014
MelSpectrogram114,0.08687523924019658
MelSpectrogram112,0.0866812695630077
MelSpectrogram105,0.08633420666186598
MelSpectrogram93,0.08524968306791525
MelSpectrogram109,0.08459998218992615
MelSpectrogram111,0.08438890805408406
MelSpectrogram108,0.08391708037679235
MelSpectrogram97,0.08337818956960419
MelSpectrogram123,0.0804154396856489
MelSpectrogram89,0.07290978362283163
MelSpectrogram98,0.07284171318154664
MelSpectrogram3,0.07273519483510538
MelSpectrogram94,0.07198621649130255
MelSpectrogram95,0.07190481840136598
MelSpectrogram62,0.07159184384072148
MelSpectrogram102,0.07131892398016948
MelSpectrogram110,0.07052095719029672
MelSpectrogram101,0.06987871227862463
MelSpectrogram8,0.06768735823144634
MelSpectrogram31,0.06757002012687208
MelSpectrogram30,0.06560752172201267
MelSpectrogram81,0.06476051108621617
MelSpectrogram58,0.06466979469728185
MelSpectrogram82,0.06415861108114762
MelSpectrogram67,0.06277656772419671
MelSpectrogram87,0.06276549524158326
MelSpectrogram4,0.06266127701310586
MelSpectrogram99,0.06125682106464336
Chroma8,0.06072156836732612
SpectralRollOff,0.05974595745988398
MelSpectrogram14,0.05965702242308235
MelSpectrogram78,0.0580886460709884
MelSpectrogram74,0.057400937213815784
MelSpectrogram1,0.056725664086798355
MelSpectrogram24,0.056186991602420466
MelSpectrogram85,0.05568570826409336
MelSpectrogram63,0.05555223601656456
Chroma10,0.05315064467262731
MFCC6,0.05282891245524324
MelSpectrogram5,0.052686341973291695
MelSpectrogram96,0.05250253202664612
MelSpectrogram90,0.051688053049292915
MelSpectrogram92,0.05165251505995472
MelSpectrogram86,0.05143636699503795
MelSpectrogram56,0.05140792338037392
MelSpectrogram70,0.05077456884906972
MelSpectrogram84,0.05052486853572935
MelSpectrogram2,0.05049679974645138
MelSpectrogram52,0.04883061658848087
MelSpectrogram66,0.04877606144430935
MelSpectrogram44,0.04813266403583749
MelSpectrogram83,0.04721749575250844
MelSpectrogram36,0.046523059806399925
MelSpectrogram45,0.04650188958063928
MelSpectrogram12,0.046404008269461006
MelSpectrogram68,0.04588646077645575
MelSpectrogram46,0.04534801194975335
MelSpectrogram55,0.045306858867813826
MelSpectrogram59,0.04472248886089947
MelSpectrogram11,0.04313163451058566
MelSpectrogram80,0.04255886107436457
MelSpectrogram72,0.042530988245496504
MelSpectrogram57,0.04202101420274773
MelSpectrogram77,0.04044179293634809
MelSpectrogram76,0.04036955652725527
MelSpectrogram88,0.03986062386584077
MelSpectrogram69,0.039748273309028415
MFCC2,0.03958158562280856
MelSpectrogram47,0.03911879953049957
MelSpectrogram71,0.03811301416818247
Chroma11,0.036878045847770435
MelSpectrogram48,0.03683922545124929
MelSpectrogram51,0.03670003017642465
MelSpectrogram73,0.03634178851548642
MelSpectrogram61,0.03401889192909491
MelSpectrogram50,0.03322901134322431
MelSpectrogram33,0.03224088297783623
SpectralContrast3,0.03222774708532272
MelSpectrogram15,0.03192090846259199
Chroma7,0.03146221316660225
MelSpectrogram79,0.03143573201187855
MelSpectrogram6,0.03139056132151952
MelSpectrogram37,0.030902679583056702
MelSpectrogram7,0.029704431726873315
MelSpectrogram91,0.0294475891159538
Chroma9,0.02926516087468589
MFCC1,0.02866511670278471
MFCC12,0.02861061673519183
MelSpectrogram27,0.027649477809803757
MelSpectrogram28,0.02719953908332773
MelSpectrogram75,0.02622629042890856
MelSpectrogram54,0.025665827191985402
Chroma6,0.025588625545840182
MFCC10,0.025155205519441948
RMSE,0.023635651196256102
MelSpectrogram10,0.02338227924400016
MelSpectrogram29,0.022109488826801638
MelSpectrogram65,0.022051909463446373
MelSpectrogram13,0.021510070425711403
MelSpectrogram16,0.020956630253207376
MelSpectrogram60,0.020546201314249446
Chroma2,0.019512855459028255
MelSpectrogram22,0.018904539001922904
MelSpectrogram40,0.018457540775784098
MFCC4,0.018007953600045257
MelSpectrogram32,0.016583254097842115
Chroma12,0.016429273655946375
MelSpectrogram43,0.01624035565668147
SpectralContrast1,0.01595615817938878
Chroma4,0.015591383891442323
MelSpectrogram64,0.015312621340076715
MFCC11,0.014644441373951489
ZCR,0.013266011517701237
MelSpectrogram34,0.012865603254577973
MelSpectrogram19,0.012383176674164886
MelSpectrogram18,0.01077335515715716
MelSpectrogram53,0.010230504344000302
MFCC9,0.009674860290096232
MelSpectrogram25,0.009357729748442178
MelSpectrogram9,0.009289039188336012
MelSpectrogram49,0.009100234612461566
MelSpectrogram17,0.009069730763194617
MFCC13,0.008154754076783677
MelSpectrogram20,0.00809491658326178
MelSpectrogram39,0.005550453579667325
SpectralContrast4,0.005230170010963819
SpectralContrast6,0.005197174750966482
MelSpectrogram26,0.004913509008444006
MelSpectrogram21,0.003944397769951591
MelSpectrogram42,0.0032942664725243986
SpectralContrast2,0.0027439744882040706
MelSpectrogram35,0.0013279600622648768
