Feature,Importance
SpectralRollOff,0.06072658332673564
Chroma8,0.06027218899804376
Chroma10,0.054178323506738346
MFCC6,0.052438192064522715
MFCC2,0.04141919060816823
Chroma11,0.03667983689652732
SpectralContrast3,0.03420662042341971
Chroma7,0.032235797389822185
MFCC12,0.029097739173163717
MFCC1,0.027973961370437506
Chroma9,0.02794906408545761
Chroma6,0.026978140830986375
MFCC10,0.026410373962110434
Chroma2,0.021223961235667943
RMSE,0.021166262440459604
SpectralContrast1,0.019126503711688114
MFCC4,0.01807132685740198
Chroma12,0.016042300776915486
MFCC11,0.014540475060145441
ZCR,0.013665259990372158
Chroma4,0.012957621685471654
MFCC9,0.012053868901257703
MFCC13,0.006649862326139511
SpectralContrast4,0.006165888149351373
SpectralContrast6,0.004122745149454543
SpectralContrast2,0.004036502752819526
MFCC3,0.0
Chroma5,0.0
Chroma3,0.0
Chroma1,0.0
MFCC8,0.0
MFCC7,0.0
MFCC5,0.0
SpectralContrast5,0.0
SpectralContrast7,0.0
